global_timestep,episode_index,episode_step,reward,terminated,truncated,paddle_pos_x,paddle_pos_y,target_pos_x,target_pos_y,paddle_vel_x,paddle_vel_y,paddle_acc_x,paddle_acc_y,puck_pos_x,puck_pos_y,puck_vel_x,puck_vel_y,puck_acc_x,puck_acc_y,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,action_0,action_1
0,0,0,-1.0038567788898944,False,False,0.7159410715103149,-0.0038567788433283567,0.6479871869087219,-0.036786045879125595,-0.15917935967445374,-0.07713557779788971,0.0,0.0,-0.8773212432861328,0.17897391319274902,1.0632933378219604,0.0,0.0,0.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,-0.07591281831264496,-0.036786045879125595
1,0,1,-1.022989438865425,False,False,0.7135809063911438,-0.016649121418595314,0.7462253570556641,-0.1113598570227623,-0.047202713787555695,-0.25584685802459717,-3.183587074279785,-1.5427114963531494,-0.8242669105529785,0.17897391319274902,1.0610860586166382,0.0,-0.04414558410644531,0.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,0.7239000201225281,0.0,0.0,0.7159410715103149,-0.0038567788433283567,0.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,-0.9552000164985657,0.17897391319274902,0.0,-0.8773212432861328,0.17897391319274902,0.0,0.030284268781542778,-0.10750307887792587
2,0,2,-1.0215710936075906,False,False,0.7132729291915894,-0.03786853328347206,0.7274098992347717,-0.15524618327617645,-0.006159811746329069,-0.42438822984695435,2.239532947540283,-3.574225664138794,-0.7713202238082886,0.17897391319274902,1.0589338541030884,0.0,-0.043044090270996094,0.0,-0.800000011920929,0.0,1.0,0.7239000201225281,0.0,0.0,0.7159410715103149,-0.0038567788433283567,0.0,0.7159410715103149,-0.0038567788433283567,0.0,0.7135809063911438,-0.016649121418595314,0.0,-0.800000011920929,0.0,1.0,-0.9552000164985657,0.17897391319274902,0.0,-0.8773212432861328,0.17897391319274902,0.0,-0.8773212432861328,0.17897391319274902,0.0,-0.8242669105529785,0.17897391319274902,0.0,0.013828985393047333,-0.1385970562696457
3,0,3,-1.0110886378014141,False,False,0.7088738083839417,-0.04627154767513275,0.6720066070556641,0.014343764632940292,-0.08798281103372574,-0.1680603176355362,0.8208580613136292,-3.3708274364471436,-0.7184784412384033,0.17897391319274902,1.0568355321884155,0.0,-0.04196643829345703,0.0,0.7159410715103149,-0.0038567788433283567,0.0,0.7159410715103149,-0.0038567788433283567,0.0,0.7135809063911438,-0.016649121418595314,0.0,0.7135809063911438,-0.016649121418595314,0.0,0.7132729291915894,-0.03786853328347206,0.0,-0.8773212432861328,0.17897391319274902,0.0,-0.8773212432861328,0.17897391319274902,0.0,-0.8242669105529785,0.17897391319274902,0.0,-0.8242669105529785,0.17897391319274902,0.0,-0.7713202238082886,0.17897391319274902,0.0,-0.04126634821295738,0.052212297916412354
4,0,4,-1.0477823646856417,False,False,0.7084088921546936,-0.04345417767763138,0.7484574317932129,0.08409081399440765,-0.009298430755734444,0.05634741857647896,-1.6364599466323853,5.126558303833008,-0.6657389402389526,0.17897391319274902,1.054789662361145,0.0,-0.040917396545410156,0.0,0.7135809063911438,-0.016649121418595314,0.0,0.7135809063911438,-0.016649121418595314,0.0,0.7132729291915894,-0.03786853328347206,0.0,0.7132729291915894,-0.03786853328347206,0.0,0.7088738083839417,-0.04627154767513275,0.0,-0.8242669105529785,0.17897391319274902,0.0,-0.8242669105529785,0.17897391319274902,0.0,-0.7713202238082886,0.17897391319274902,0.0,-0.7713202238082886,0.17897391319274902,0.0,-0.7184784412384033,0.17897391319274902,0.0,0.039583612233400345,0.1303623616695404
5,0,5,-1.1504232709428848,False,False,0.703657329082489,-0.05059584602713585,0.6453633308410645,-0.17379498481750488,-0.09503141790628433,-0.14283335208892822,1.5736875534057617,4.488154888153076,-0.613099217414856,0.17897391319274902,1.0527949333190918,0.0,-0.03989458084106445,0.0,0.7132729291915894,-0.03786853328347206,0.0,0.7132729291915894,-0.03786853328347206,0.0,0.7088738083839417,-0.04627154767513275,0.0,0.7088738083839417,-0.04627154767513275,0.0,0.7084088921546936,-0.04345417767763138,0.0,-0.7713202238082886,0.17897391319274902,0.0,-0.7713202238082886,0.17897391319274902,0.0,-0.7184784412384033,0.17897391319274902,0.0,-0.7184784412384033,0.17897391319274902,0.0,-0.6657389402389526,0.17897391319274902,0.0,-0.06304554641246796,-0.1303407996892929
6,0,6,-1.111870337006394,False,False,0.6901800632476807,-0.0612310953438282,0.582859218120575,-0.11870622634887695,-0.269545316696167,-0.21270498633384705,-1.7146596908569336,-3.9836153984069824,-0.5605567097663879,0.17897391319274902,1.0508500337600708,0.0,-0.03889799118041992,0.0,0.7088738083839417,-0.04627154767513275,0.0,0.7088738083839417,-0.04627154767513275,0.0,0.7084088921546936,-0.04345417767763138,0.0,0.7084088921546936,-0.04345417767763138,0.0,0.703657329082489,-0.05059584602713585,0.0,-0.7184784412384033,0.17897391319274902,0.0,-0.7184784412384033,0.17897391319274902,0.0,-0.6657389402389526,0.17897391319274902,0.0,-0.6657389402389526,0.17897391319274902,0.0,-0.613099217414856,0.17897391319274902,0.0,-0.12079810351133347,-0.0681103765964508
7,0,7,-1.111381135149757,False,False,0.6792288422584534,-0.07240907847881317,0.6680367588996887,-0.102894127368927,-0.21902498602867126,-0.22355973720550537,-3.4902780055999756,-1.3974326848983765,-0.5081090331077576,0.17897391319274902,1.0489537715911865,0.0,-0.03792524337768555,0.0,0.7084088921546936,-0.04345417767763138,0.0,0.7084088921546936,-0.04345417767763138,0.0,0.703657329082489,-0.05059584602713585,0.0,0.703657329082489,-0.05059584602713585,0.0,0.6901800632476807,-0.0612310953438282,0.0,-0.6657389402389526,0.17897391319274902,0.0,-0.6657389402389526,0.17897391319274902,0.0,-0.613099217414856,0.17897391319274902,0.0,-0.613099217414856,0.17897391319274902,0.0,-0.5605567097663879,0.17897391319274902,0.0,-0.022143293172121048,-0.0416630282998085
8,0,8,-1.114157309434798,False,False,0.6628879308700562,-0.0864763930439949,0.5902516841888428,-0.13831591606140137,-0.3268180787563324,-0.28134629130363464,1.0104066133499146,-0.2170950174331665,-0.45575377345085144,0.17897391319274902,1.0471049547195435,0.0,-0.03697633743286133,0.0,0.703657329082489,-0.05059584602713585,0.0,0.703657329082489,-0.05059584602713585,0.0,0.6901800632476807,-0.0612310953438282,0.0,0.6901800632476807,-0.0612310953438282,0.0,0.6792288422584534,-0.07240907847881317,0.0,-0.613099217414856,0.17897391319274902,0.0,-0.613099217414856,0.17897391319274902,0.0,-0.5605567097663879,0.17897391319274902,0.0,-0.5605567097663879,0.17897391319274902,0.0,-0.5081090331077576,0.17897391319274902,0.0,-0.0889771431684494,-0.0659068301320076
9,0,9,-1.004483638115805,False,False,0.6553089022636414,-0.0900612473487854,0.7642301321029663,0.0631972923874855,-0.15158100426197052,-0.07169703394174576,-2.1558618545532227,-1.1557310819625854,-0.4034886658191681,0.17897391319274902,1.045302391052246,0.0,-0.036051273345947266,0.0,0.6901800632476807,-0.0612310953438282,0.0,0.6901800632476807,-0.0612310953438282,0.0,0.6792288422584534,-0.07240907847881317,0.0,0.6792288422584534,-0.07240907847881317,0.0,0.6628879308700562,-0.0864763930439949,0.0,-0.5605567097663879,0.17897391319274902,0.0,-0.5605567097663879,0.17897391319274902,0.0,-0.5081090331077576,0.17897391319274902,0.0,-0.5081090331077576,0.17897391319274902,0.0,-0.45575377345085144,0.17897391319274902,0.0,0.10134222358465195,0.1496736854314804
