step,latent_std,dz_paddle_density,dz_puck_damping,dz_gravity,action_shift,action_shift_rel
25000,0.41038,2.13983,1.85747,3.16310,0.25124,0.32638
50000,0.46967,2.52323,3.09803,2.81854,0.38892,0.58545
75000,0.45306,2.81612,3.00353,2.41763,0.31879,0.53749
100000,0.41230,2.33561,2.83149,2.25967,0.35870,0.63368
125000,0.44845,2.83066,2.91860,2.47136,0.43273,0.76153
150000,0.42837,2.54775,2.52890,2.68082,0.43209,0.71883
175000,0.41573,2.34444,2.47586,2.64416,0.42461,0.67011
200000,0.38084,2.25205,2.26098,2.32895,0.38809,0.55481
225000,0.34964,2.18519,2.10913,1.94890,0.39283,0.49608
250000,0.30927,1.90843,1.94048,1.65961,0.39227,0.50512
275000,0.25231,1.52641,1.70270,1.27376,0.31310,0.40365
300000,0.23205,1.40654,1.40193,1.34946,0.29588,0.36321
325000,0.20994,1.34490,1.25176,1.15652,0.28543,0.36208
350000,0.18207,1.05341,1.04627,1.08626,0.25519,0.32623
375000,0.18158,0.87187,1.18127,1.08404,0.27307,0.33424
400000,0.16489,0.89379,0.95666,1.05981,0.26946,0.33990
425000,0.15540,1.00993,0.86166,0.89642,0.23074,0.28532
450000,0.15060,0.99632,0.83692,0.89127,0.23858,0.29472
475000,0.14963,0.98890,0.86550,0.86055,0.22460,0.27466
500000,0.14280,0.97423,0.83861,0.75731,0.23103,0.28559
525000,0.13518,0.93318,0.74200,0.75581,0.28611,0.36720
550000,0.12604,0.94945,0.74174,0.62707,0.22960,0.29114
575000,0.11854,0.79455,0.66560,0.68685,0.18200,0.21963
600000,0.11766,0.92736,0.53443,0.64506,0.17027,0.21302
625000,0.11821,0.87575,0.58212,0.68326,0.19396,0.24572
650000,0.11151,0.81238,0.58090,0.66208,0.17261,0.21436
675000,0.10638,0.73201,0.56435,0.62400,0.17514,0.21568
700000,0.10786,0.74406,0.50292,0.66619,0.18128,0.22617
725000,0.09451,0.61588,0.55315,0.54381,0.17165,0.21748
750000,0.09231,0.71807,0.49934,0.46563,0.16032,0.20130
775000,0.09288,0.65671,0.51807,0.49911,0.16395,0.20703
800000,0.09371,0.62613,0.44994,0.60700,0.17517,0.22424
825000,0.08058,0.61749,0.41170,0.46586,0.15217,0.19475
850000,0.07627,0.50019,0.48762,0.38034,0.11072,0.13607
875000,0.07619,0.54260,0.44418,0.40677,0.10450,0.12899
900000,0.07968,0.54498,0.45666,0.43242,0.11629,0.14601
925000,0.07668,0.53195,0.41965,0.42669,0.13491,0.17547
950000,0.07123,0.43603,0.45432,0.38813,0.11296,0.13925
975000,0.06995,0.43376,0.41189,0.42245,0.11759,0.14303
1000000,0.07703,0.50434,0.48286,0.38381,0.12660,0.15531
1025000,0.07529,0.48948,0.40026,0.44478,0.12332,0.14979
1050000,0.07216,0.44787,0.44002,0.40028,0.11122,0.13493
1075000,0.07622,0.48559,0.42888,0.43833,0.12626,0.15345
1100000,0.06775,0.45930,0.40510,0.36481,0.10451,0.12751
1125000,0.06604,0.42932,0.40183,0.36987,0.09809,0.11842
1150000,0.07088,0.46435,0.41789,0.38115,0.11542,0.13779
1175000,0.07739,0.50264,0.44591,0.40735,0.12706,0.15294
1200000,0.07277,0.51511,0.35051,0.40796,0.10659,0.12919
1225000,0.07136,0.46566,0.38488,0.39873,0.09733,0.11416
1250000,0.07948,0.56663,0.48096,0.34820,0.12716,0.15287
1275000,0.06940,0.46936,0.41968,0.31708,0.08563,0.10015
1300000,0.06663,0.47518,0.37771,0.30359,0.09787,0.11496
1325000,0.07290,0.53066,0.36502,0.38915,0.12150,0.14416
1350000,0.06584,0.45825,0.36249,0.33302,0.10059,0.12199
1375000,0.07034,0.47667,0.38858,0.38066,0.10188,0.12381
1400000,0.06371,0.45917,0.32667,0.35088,0.09006,0.10848
1425000,0.05850,0.44979,0.30301,0.28534,0.08217,0.10127
1450000,0.05816,0.39894,0.28771,0.36211,0.08227,0.09978
1475000,0.06895,0.44111,0.26803,0.49996,0.09799,0.12010
1500000,0.05260,0.34698,0.27486,0.31108,0.05968,0.07045
1525000,0.06401,0.40730,0.26097,0.42817,0.08296,0.10379
1550000,0.06919,0.42597,0.33186,0.45487,0.10564,0.13177
1575000,0.06648,0.42246,0.33172,0.41185,0.10242,0.12518
1600000,0.06690,0.44239,0.32228,0.40167,0.08980,0.10880
1625000,0.06334,0.40992,0.31584,0.38435,0.07857,0.09423
1650000,0.06406,0.38917,0.31908,0.40792,0.07170,0.08510
1675000,0.05736,0.40178,0.28695,0.31967,0.07067,0.08419
1700000,0.05745,0.37101,0.28106,0.35295,0.06757,0.07888
1725000,0.05777,0.40758,0.27956,0.33229,0.07134,0.08392
1750000,0.06149,0.40668,0.32873,0.34805,0.08556,0.10426
1775000,0.05846,0.37342,0.30767,0.35947,0.07702,0.09186
1800000,0.05428,0.37531,0.27117,0.32004,0.07149,0.08412
1825000,0.05456,0.36339,0.29387,0.29984,0.07315,0.08749
1850000,0.06300,0.39635,0.30374,0.39131,0.08214,0.09716
1875000,0.05900,0.35218,0.34159,0.37000,0.08107,0.09520
1900000,0.04827,0.35735,0.20784,0.26258,0.06287,0.07446
1925000,0.04710,0.31801,0.22274,0.28609,0.06575,0.07719
1950000,0.05661,0.37077,0.29977,0.30094,0.07563,0.09288
1975000,0.05771,0.37191,0.30227,0.32597,0.07776,0.09322
2000000,0.04956,0.31432,0.29938,0.23925,0.07388,0.09175
