metric,bin_index,bin_lo,bin_hi,count,occluded_count,occlusion_rate
puck_speed_mps,0,0.0,0.12572138957157208,1039,577,0.5553416746871992
puck_speed_mps,1,0.12572138957157208,0.30696430035729527,1039,0,0.0
puck_speed_mps,2,0.30696430035729527,0.45433064878861906,1039,0,0.0
puck_speed_mps,3,0.45433064878861906,0.6065427253872508,1039,0,0.0
puck_speed_mps,4,0.6065427253872508,0.7684181379910245,1039,0,0.0
puck_speed_mps,5,0.7684181379910245,0.9600551965136777,1039,0,0.0
puck_speed_mps,6,0.9600551965136777,1.3768426737397115,1039,0,0.0
puck_speed_mps,7,1.3768426737397115,9.776132993852189,1039,0,0.0
paddle_speed_mps,0,0.0,0.024909784057994447,1039,95,0.09143407122232916
paddle_speed_mps,1,0.024909784057994447,0.06850295713136735,1039,43,0.04138594802694899
paddle_speed_mps,2,0.06850295713136735,0.11500264328822915,1039,62,0.059672762271414825
paddle_speed_mps,3,0.11500264328822915,0.17211964558093235,1039,52,0.05004812319538017
paddle_speed_mps,4,0.17211964558093235,0.23495800987517224,1039,61,0.05871029836381136
paddle_speed_mps,5,0.23495800987517224,0.3200431895688082,1039,60,0.05774783445620789
paddle_speed_mps,6,0.3200431895688082,0.42565764728314137,1039,59,0.05678537054860443
paddle_speed_mps,7,0.42565764728314137,1.068942459696314,1039,145,0.1395572666025024
puck_paddle_distance_m,0,0.01108858543355916,0.1547326284737225,1039,311,0.2993262752646776
puck_paddle_distance_m,1,0.1547326284737225,0.241893754367923,1039,138,0.13282001924927817
puck_paddle_distance_m,2,0.241893754367923,0.3620429658510305,1039,44,0.04234841193455245
puck_paddle_distance_m,3,0.3620429658510305,0.5010742851875005,1039,19,0.01828681424446583
puck_paddle_distance_m,4,0.5010742851875005,0.6966508519166418,1039,1,0.0009624639076034649
puck_paddle_distance_m,5,0.6966508519166418,0.9715326428751216,1039,15,0.014436958614051972
puck_paddle_distance_m,6,0.9715326428751216,1.2836317912565585,1039,46,0.04427333974975938
puck_paddle_distance_m,7,1.2836317912565585,1.6931931060337442,1039,3,0.0028873917228103944
distance_to_edge_m,0,0.026600000000000013,0.06847500000000005,1039,135,0.12993262752646775
distance_to_edge_m,1,0.06847500000000005,0.10750000000000007,1039,170,0.16361886429258904
distance_to_edge_m,2,0.10750000000000007,0.15460000000000002,1035,68,0.06570048309178744
distance_to_edge_m,3,0.15460000000000002,0.2116,1034,63,0.0609284332688588
distance_to_edge_m,4,0.2116,0.26860000000000006,1040,36,0.03461538461538462
distance_to_edge_m,5,0.26860000000000006,0.3286,1023,38,0.03714565004887586
distance_to_edge_m,6,0.3286,0.39060000000000006,1057,32,0.030274361400189215
distance_to_edge_m,7,0.39060000000000006,0.4576,1045,35,0.03349282296650718
