global_timestep,episode_index,episode_step,reward,terminated,truncated,paddle_pos_x,paddle_pos_y,target_pos_x,target_pos_y,paddle_vel_x,paddle_vel_y,paddle_acc_x,paddle_acc_y,puck_pos_x,puck_pos_y,puck_vel_x,puck_vel_y,puck_acc_x,puck_acc_y,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,action_0,action_1
10,0,10,-0.3,False,False,0.6245353817939758,0.10261078923940659,0.5936854481697083,0.2020217478275299,-0.3944278359413147,0.1471080332994461,-2.4921083450317383,-2.4517815113067627,-0.35131141543388367,-0.0476720817387104,1.043544888496399,0.0,-0.03515005111694336,0.0,0.683281660079956,0.09646144509315491,0.0,0.683281660079956,0.09646144509315491,0.0,0.6668843626976013,0.09892314672470093,0.0,0.6668843626976013,0.09892314672470093,0.0,0.6442567706108093,0.09525538980960846,0.0,-0.5081090331077576,-0.0476720817387104,0.0,-0.5081090331077576,-0.0476720817387104,0.0,-0.45575377345085144,-0.0476720817387104,0.0,-0.45575377345085144,-0.0476720817387104,0.0,-0.4034886658191681,-0.0476720817387104,0.0,-0.050571322441101074,0.10676636546850204
11,0,11,-0.3,False,False,0.6041728854179382,0.11347879469394684,0.5507621765136719,0.16134831309318542,-0.40725013613700867,0.21736016869544983,1.1624735593795776,4.409262180328369,-0.29921984672546387,-0.0476720817387104,1.0418312549591064,0.0,-0.03427267074584961,0.0,0.6668843626976013,0.09892314672470093,0.0,0.6668843626976013,0.09892314672470093,0.0,0.6442567706108093,0.09525538980960846,0.0,0.6442567706108093,0.09525538980960846,0.0,0.6245353817939758,0.10261078923940659,0.0,-0.45575377345085144,-0.0476720817387104,0.0,-0.45575377345085144,-0.0476720817387104,0.0,-0.4034886658191681,-0.0476720817387104,0.0,-0.4034886658191681,-0.0476720817387104,0.0,-0.35131141543388367,-0.0476720817387104,0.0,-0.07377320528030396,0.05873752757906914
12,0,12,-0.3,False,False,0.586732029914856,0.11223308742046356,0.562171459197998,0.03439190983772278,-0.3488170802593231,-0.02491411194205284,-0.2564460039138794,1.4050426483154297,-0.24721182882785797,-0.0476720817387104,1.0401604175567627,0.0,-0.033416748046875,0.0,0.6442567706108093,0.09525538980960846,0.0,0.6442567706108093,0.09525538980960846,0.0,0.6245353817939758,0.10261078923940659,0.0,0.6245353817939758,0.10261078923940659,0.0,0.6041728854179382,0.11347879469394684,0.0,-0.4034886658191681,-0.0476720817387104,0.0,-0.4034886658191681,-0.0476720817387104,0.0,-0.35131141543388367,-0.0476720817387104,0.0,-0.35131141543388367,-0.0476720817387104,0.0,-0.29921984672546387,-0.0476720817387104,0.0,-0.042001448571681976,-0.07908688485622406
13,0,13,4.5,False,False,0.5709201097488403,0.11536499112844467,0.542434573173523,0.1497131735086441,-0.3162381947040558,0.062638059258461,1.168661117553711,-4.845485687255859,-0.19528526067733765,-0.0476720817387104,1.0385314226150513,0.0,-0.032579898834228516,0.0,0.6245353817939758,0.10261078923940659,0.0,0.6245353817939758,0.10261078923940659,0.0,0.6041728854179382,0.11347879469394684,0.0,0.6041728854179382,0.11347879469394684,0.0,0.586732029914856,0.11223308742046356,0.0,-0.35131141543388367,-0.0476720817387104,0.0,-0.35131141543388367,-0.0476720817387104,0.0,-0.29921984672546387,-0.0476720817387104,0.0,-0.29921984672546387,-0.0476720817387104,0.0,-0.24721182882785797,-0.0476720817387104,0.0,-0.0442974828183651,0.037480082362890244
14,0,14,4.5,False,False,0.5584675073623657,0.12590128183364868,0.5487151145935059,0.1967327743768692,-0.24905242025852203,0.21072569489479065,0.6515777111053467,1.751043438911438,-0.14343810081481934,-0.0476720817387104,1.0369431972503662,0.0,-0.03176450729370117,0.0,0.6041728854179382,0.11347879469394684,0.0,0.6041728854179382,0.11347879469394684,0.0,0.586732029914856,0.11223308742046356,0.0,0.586732029914856,0.11223308742046356,0.0,0.5709201097488403,0.11536499112844467,0.0,-0.29921984672546387,-0.0476720817387104,0.0,-0.29921984672546387,-0.0476720817387104,0.0,-0.24721182882785797,-0.0476720817387104,0.0,-0.24721182882785797,-0.0476720817387104,0.0,-0.19528526067733765,-0.0476720817387104,0.0,-0.02220500260591507,0.08136778324842453
15,0,15,4.5,False,False,0.5464836955070496,0.1272924840450287,0.520218014717102,0.07482209801673889,-0.23967568576335907,0.027823956683278084,1.3437154293060303,2.9617526531219482,-0.09166836738586426,-0.0476720817387104,1.0353946685791016,0.0,-0.03097057342529297,0.0,0.586732029914856,0.11223308742046356,0.0,0.586732029914856,0.11223308742046356,0.0,0.5709201097488403,0.11536499112844467,0.0,0.5709201097488403,0.11536499112844467,0.0,0.5584675073623657,0.12590128183364868,0.0,-0.24721182882785797,-0.0476720817387104,0.0,-0.24721182882785797,-0.0476720817387104,0.0,-0.19528526067733765,-0.0476720817387104,0.0,-0.19528526067733765,-0.0476720817387104,0.0,-0.14343810081481934,-0.0476720817387104,0.0,-0.03824947774410248,-0.05107918009161949
16,0,16,4.5,False,False,0.5397862195968628,0.11916521191596985,0.5557916760444641,0.041277892887592316,-0.13394983112812042,-0.16254545748233795,0.18753468990325928,-3.6580348014831543,-0.03997412696480751,-0.0476720817387104,1.0338847637176514,0.0,-0.030198097229003906,0.0,0.5709201097488403,0.11536499112844467,0.0,0.5709201097488403,0.11536499112844467,0.0,0.5584675073623657,0.12590128183364868,0.0,0.5584675073623657,0.12590128183364868,0.0,0.5464836955070496,0.1272924840450287,0.0,-0.19528526067733765,-0.0476720817387104,0.0,-0.19528526067733765,-0.0476720817387104,0.0,-0.14343810081481934,-0.0476720817387104,0.0,-0.14343810081481934,-0.0476720817387104,0.0,-0.09166836738586426,-0.0476720817387104,0.0,0.00930797215551138,-0.08601459115743637
17,0,17,0.0,False,False,0.5321930646896362,0.10194632411003113,0.5044609904289246,-0.016079187393188477,-0.15186327695846558,-0.34437766671180725,2.1145172119140625,-3.8073883056640625,0.011646505445241928,-0.0476720817387104,1.0324126482009888,0.0,-0.029442310333251953,0.0,0.5584675073623657,0.12590128183364868,0.0,0.5584675073623657,0.12590128183364868,0.0,0.5464836955070496,0.1272924840450287,0.0,0.5464836955070496,0.1272924840450287,0.0,0.5397862195968628,0.11916521191596985,0.0,-0.14343810081481934,-0.0476720817387104,0.0,-0.14343810081481934,-0.0476720817387104,0.0,-0.09166836738586426,-0.0476720817387104,0.0,-0.09166836738586426,-0.0476720817387104,0.0,-0.03997412696480751,-0.0476720817387104,0.0,-0.03532520309090614,-0.13524439930915833
18,0,18,0.0,False,False,0.5349223017692566,0.08225200325250626,0.6054872274398804,0.018773235380649567,0.05458502098917961,-0.39388638734817505,-0.3582689166069031,-3.636644124984741,0.0631953775882721,-0.0476720817387104,1.0309773683547974,0.0,-0.028705596923828125,0.0,0.5464836955070496,0.1272924840450287,0.0,0.5464836955070496,0.1272924840450287,0.0,0.5397862195968628,0.11916521191596985,0.0,0.5397862195968628,0.11916521191596985,0.0,0.5321930646896362,0.10194632411003113,0.0,-0.09166836738586426,-0.0476720817387104,0.0,-0.09166836738586426,-0.0476720817387104,0.0,-0.03997412696480751,-0.0476720817387104,0.0,-0.03997412696480751,-0.0476720817387104,0.0,0.011646505445241928,-0.0476720817387104,0.0,0.07329413294792175,-0.08317308872938156
19,0,19,0.0,False,False,0.5367594957351685,0.05929507315158844,0.5357770919799805,-0.016432181000709534,0.036743827164173126,-0.45913854241371155,4.128965854644775,-0.990174412727356,0.11467427760362625,-0.0476720817387104,1.0295779705047607,0.0,-0.027987957000732422,0.0,0.5397862195968628,0.11916521191596985,0.0,0.5397862195968628,0.11916521191596985,0.0,0.5321930646896362,0.10194632411003113,0.0,0.5321930646896362,0.10194632411003113,0.0,0.5349223017692566,0.08225200325250626,0.0,-0.03997412696480751,-0.0476720817387104,0.0,-0.03997412696480751,-0.0476720817387104,0.0,0.011646505445241928,-0.0476720817387104,0.0,0.011646505445241928,-0.0476720817387104,0.0,0.0631953775882721,-0.0476720817387104,0.0,0.0008547641336917877,-0.09868418425321579
